iterations, items_explored, HUIs_mined, Time_elapsed
1000,50,6,2199
2000,50,10,3315
3000,50,20,4439
4000,50,23,5753
5000,50,34,6868
6000,50,45,8016
7000,50,56,9085
8000,50,59,10154
9000,50,64,11231
10000,50,68,12359
11000,50,71,13376
12000,50,75,14471
13000,50,79,15594
14000,50,94,16702
15000,50,98,17792
16000,50,111,18951
17000,50,111,20117
