iterations, items_explored, HUIs_mined, Time_elapsed
100,165,71,1604257
200,272,105,1606173
300,368,124,1607952
400,434,138,1609942
500,504,154,1611810
600,567,165,1613570
700,628,178,1615441
800,679,190,1617303
900,742,200,1619068
1000,810,205,1620879
1100,868,210,1622667
1200,925,217,1624474
1300,990,221,1626178
1400,1039,228,1628039
1500,1084,239,1629751
1600,1141,243,1631608
1700,1187,249,1633326
1800,1235,255,1635118
1900,1292,257,1636774
