iterations, items_explored, HUIs_mined, Time_elapsed
100,173,72,792619
200,292,117,793814
300,406,150,795100
400,494,174,796748
500,564,198,798351
600,641,212,799965
700,718,220,801516
800,783,235,803133
900,839,244,804751
1000,912,255,806267
1100,984,266,807870
1200,1045,272,809467
1300,1103,280,811067
1400,1160,285,812584
1500,1216,293,814218
1600,1274,297,815848
1700,1319,304,817472
1800,1373,310,818985
1900,1423,314,820656
2000,1459,317,822269
