iterations, items_explored, HUIs_mined, Time_elapsed
100,164,68,1908423
200,288,115,1909339
300,365,136,1910506
400,451,161,1911433
500,523,179,1912450
600,607,201,1913550
700,688,215,1914600
800,745,226,1915617
900,799,235,1916777
1000,847,240,1917867
1100,909,246,1918920
1200,974,252,1919968
1300,1040,263,1920962
1400,1101,272,1922045
1500,1157,277,1923043
1600,1201,279,1924195
