iterations, items_explored, HUIs_mined, Time_elapsed
100,175,66,4033989
200,275,117,4035016
300,373,140,4036154
400,452,156,4037254
500,522,174,4038388
600,594,189,4039511
700,673,202,4040505
800,747,213,4041502
900,810,221,4042432
1000,872,230,4043374
1100,922,242,4044448
1200,991,247,4045380
1300,1056,255,4046294
1400,1119,263,4047225
1500,1170,268,4048231
1600,1213,272,4049157
1700,1250,281,4050136
1800,1296,283,4051136
