iterations, items_explored, HUIs_mined, Time_elapsed
100,168,63,1993293
200,269,107,1993979
300,359,139,1994814
400,432,161,1995693
500,508,174,1996484
600,564,194,1997325
700,644,208,1998110
800,701,220,1998894
900,764,231,1999678
1000,825,241,2000447
1100,886,247,2001200
1200,950,255,2001969
1300,1014,261,2002753
1400,1072,268,2003508
1500,1115,273,2004306
1600,1164,276,2005107
1700,1216,278,2005890
