iterations, items_explored, HUIs_mined, Time_elapsed
100,148,66,407887
200,231,99,408215
300,294,127,409685
400,342,139,409982
500,397,151,410310
600,438,164,410641
700,482,169,410953
800,524,175,411271
900,553,179,411596
1000,610,183,411916
1100,649,186,412238
1200,679,188,412533
1300,717,190,412861
1400,758,196,413189
1500,795,200,413513
1600,815,202,413831
1700,854,204,414149
