iterations, items_explored, HUIs_mined, Time_elapsed
100,148,11,928
200,283,24,971
300,401,33,1000
400,501,41,1053
500,604,46,1098
600,687,55,1133
700,756,62,1169
800,824,68,1199
900,880,74,1249
1000,941,77,1300
1100,994,81,1367
1200,1051,87,1400
1300,1097,92,1433
1400,1128,97,1483
1500,1159,101,1516
1600,1190,104,1582
1700,1220,108,1632
1800,1245,112,1682
1900,1267,115,1733
2000,1289,117,1782
2100,1306,118,1832
